2024-07-24T09:34:31.547Z [info] [proc] 명령 실행 중: "C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\CMake\CMake\bin\cmake.exe" --version
2024-07-24T10:18:03.025Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:07.207Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:14.022Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:17.394Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:19.810Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:23.493Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:29.930Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:33.478Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:36.197Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:38.932Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:40.077Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:43.075Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:44.866Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:51.621Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:53.718Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:56.557Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:18:57.591Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:00.998Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:08.566Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:10.999Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:14.431Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:18.273Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:21.167Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:27.467Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:29.929Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:19:31.268Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:23:44.975Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:23:47.962Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:23:54.874Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:23:58.365Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:02.691Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:05.410Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:07.455Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:10.327Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:13.170Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:14.372Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:15.611Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:18.782Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:21.908Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:24.370Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:26.305Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:24:59.074Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:26:52.166Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:26:52.872Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:38.476Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:39.738Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:43.914Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:46.888Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:50.087Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:52.523Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
2024-07-24T10:33:56.741Z [debug] [main] CMake 드라이버를 시작하지 않음: 선택된 키트가 없음
