DEBUG [2024-08-02 12:46:26,054] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:26,055] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:26,076] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:26,077] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:5; LastCheckedRemotes:2024-08-02 오후 12:46:26; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:1; RemoteProjectLinks:1; SidebarExpandedItems:3; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:26,089] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:46:53,841] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:46:53,842] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
DEBUG [2024-08-02 12:46:53,843] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:2024-08-02 오후 12:46:53; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2024-08-02 12:46:53,854] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2024-08-02 12:47:16,361] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2024-08-02 12:47:16,377] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: SGCC_IndieGame
